
Entry	g_ordered-locus	g_name	PDB
P09525		ANXA4	2ZOC;
Q8IUR7		ARMC8	
B4E2M5		ANKRD66	
Q96K78		ADGRG7	
P17516		AKR1C4	2FVL;
Q9H6L4		ARMC7	
Q9NR81		ARHGEF3	
O14791		APOL1	
O75843		AP1G2	2E9G;2YMT;3ZHF;4BCX;
Q9NP61		ARFGAP3	2CRW;
Q13625		TP53BP2	1YCS;2UWQ;4A63;4IRV;6GHM;6HKP;
Q96PE2		ARHGEF17	
Q9NWX5		ASB6	
A6NMY6		ANXA2P2	
P56134		ATP5MF	
O75947		ATP5PD	
P0C6P0		NBEAP1	
Q9NZS9		BFAR	
A2AJT9		BCLAF3	
P30411		BDKRB2	
Q6P575		GUSBP11	
P54687		BCAT1	2ABJ;2COG;2COI;2COJ;
Q9NYM9		BET1L	
Q7RTU4		BHLHA9	
Q2TBE0		CWF19L2	6ID0;6ID1;
Q9H8M2		BRD9	3HME;4NQN;4UIT;4UIU;4UIV;4UIW;4XY8;4YY4;4YY6;4YYD;4YYG;4YYH;4YYI;4YYJ;4YYK;4Z6H;4Z6I;5E9V;5EU1;5F1H;5F1L;5F25;5F2P;5I40;5I7X;5I7Y;5IGM;5IGN;5JI8;5MKY;5TWX;6BQA;6HM0;
Q13072		BAGE	
Q8NFC6		BOD1L1	
O60729		CDC14B	1OHC;1OHD;1OHE;
Q6ZRV3		LINC00696	
Q8IVY1		C1orf210	
Q9UNH5		CDC14A	
O43529		CHST10	
Q8N0X4		CLYBL	5VXC;5VXO;5VXS;
O75153		CLUH	
Q96DZ9		CMTM5	
Q96C57		CUSTOS	
Q6P387		C16orf46	
P38432		COIL	
Q8N684		CPSF7	3N9U;
P39060		COL18A1	1BNL;3HON;3HSH;
Q8N1P7		CRYBG2	
P49747		COMP	3FBY;
Q6RUI8		C19orf48	
P20813		CYP2B6	3IBD;3QOA;3QU8;3UA5;4I91;4RQL;4RRT;4ZV8;5UAP;5UDA;5UEC;5UFG;5WBG;
Q6PB30		CSAG1	
Q9H6X5		C19orf44	
P10635		CYP2D6	2F9Q;3QM4;3TBG;3TDA;4WNT;4WNU;4WNV;4WNW;4XRY;4XRZ;5TFT;5TFU;6CSB;6CSD;
Q96I36		COX14	
Q9P1W3		TMEM63C	
Q9UBF2		COPG2	
Q5SW24		DACT2	
Q8NBI2		CYB561A3	
P01040		CSTA	1CYU;1CYV;1DVC;1DVD;1GD3;1GD4;1N9J;1NB3;1NB5;3K9M;3KFQ;3KSE;
Q15828		CST6	4N6L;4N6M;4N6N;4N6O;6FK0;
Q02221		COX6A2	
O96019		ACTL6A	
P36544		CHRNA7	2MAW;5AFH;5AFJ;5AFK;5AFL;5AFM;5AFN;
Q9NRG9		AAAS	
P08912		CHRM5	6OL9;
P05067		APP	1AAP;1AMB;1AMC;1AML;1BA4;1BA6;1BJB;1BJC;1BRC;1CA0;1HZ3;1IYT;1MWP;1OWT;1QCM;1QWP;1QXC;1QYT;1TAW;1TKN;1UO7;1UO8;1UOA;1UOI;1X11;1Z0Q;1ZE7;1ZE9;1ZJD;2BEG;2BOM;2BP4;2FJZ;2FK1;2FK2;2FK3;2FKL;2FMA;2G47;2IPU;2LFM;2LLM;2LMN;2LMO;2LMP;2LMQ;2LNQ;2LOH;2LP1;2LZ3;2LZ4;2M4J;2M9R;2M9S;2MGT;2MJ1;2MPZ;2MVX;2MXU;2NAO;2OTK;2R0W;2WK3;2Y29;2Y2A;2Y3J;2Y3K;2Y3L;3AYU;3BAE;3BKJ;3DXC;3DXD;3DXE;3GCI;3IFL;3IFN;3IFO;3IFP;3JQ5;3JQL;3JTI;3KTM;3L33;3L81;3MOQ;3MXC;3MXY;3NYJ;3NYL;3OVJ;3OW9;3PZZ;3Q2X;3SV1;3U0T;3UMH;3UMI;3UMK;4HIX;4JFN;4M1C;4MDR;4MVI;4MVK;4MVL;4NGE;4OJF;4ONF;4ONG;4PQD;4PWQ;4XXD;5AEF;5AM8;5AMB;5BUO;5C67;5CSZ;5HOW;5HOX;5HOY;5KK3;5LFY;5LV0;5MY4;5MYO;5MYX;5ONP;5ONQ;5OQV;5TXD;5VOS;5VZY;5W3P;6CO3;6GFI;6ITU;6IYC;6NB9;6O4J;6OC9;6RHY;6SHS;
Q9H0P0		NT5C3A	2CN1;2JGA;2VKQ;
P49189		ALDH9A1	6QAK;6QAO;6QAP;
P0C7M7		ACSM4	
Q8TD30		GPT2	3IHJ;
Q8IZF2		ADGRF5	
P10323		ACR	
P35869		AHR	5NJ8;
O75078		ADAM11	
C9JTQ0		ANKRD63	
O15084		ANKRD28	
Q99996		AKAP9	
Q8IW93		ARHGEF19	
Q96P48		ARAP1	4X1V;
Q96DE5		ANAPC16	4RG6;4RG9;4UI9;5A31;5G04;5G05;5KHR;5KHU;5L9T;5L9U;5LCW;6Q6G;6Q6H;
P08519		LPA	1I71;1JFN;1KIV;2FEB;3KIV;4BV5;4BV7;4BVC;4BVD;4BVV;4BVW;4KIV;
Q6UY14		ADAMTSL4	
O60312		ATP10A	
Q9H6S1		AZI2	5EP6;5Z7G;5Z7L;
Q5T9A4		ATAD3B	
Q9BSB4		ATG101	4WZG;5C50;5XUY;5XV1;5XV3;5XV4;5XV6;
Q53S33		BOLA3	2NCL;
Q6AI39		BICRAL	
Q07021		C1QBP	1P32;3RPX;
Q9BXH1		BBC3	2M04;4BPI;4BPJ;4BPK;4HNJ;5UUL;6QFM;6QG8;
Q96L58		B3GALT6	
A6NHX0		CASTOR2	
A6NKD9		CCDC85C	
Q6ZVT6		C3orf67	
Q9HBI5		C3orf14	
Q8N163		CCAR2	
O75808		CAPN15	
Q96LW7		CARD19	4DWN;4FH0;
Q8ND23		CARMIL3	
Q49MI3		CERKL	
P0CE67		C3orf79	
Q6ZV77		C9orf139	
A4D256		CDC14C	
Q8TEP8		CEP192	4N7Z;6FVI;
Q96BT3		CENPT	
Q8IY22		CMIP	
Q9HC73		CRLF2	5J11;5J12;
P0C7P0		CISD3	6AVJ;
Q9UJA2		CRLS1	
Q70SY1		CREB3L2	
Q16527		CSRP2	
Q6ZU35		CRACD	
Q96SM3		CPXM1	
Q0VDD5		MIR22HG	
Q14993		COL19A1	
Q8NEA5		C19orf18	
Q5KU26		COLEC12	2OX8;
P09919		CSF3	1CD9;1GNC;1PGR;1RHG;2D9Q;5GW9;5ZO6;
P05108		CYP11A1	3N9Y;3N9Z;3NA0;3NA1;
O43303		CCP110	
Q49B96		COX19	
O14579		COPE	6TZT;6U3V;
P78560		CRADD	2O71;2OF5;3CRD;
P45844		ABCG1	
O75027		ABCB7	
Q9BV23		ABHD6	
Q9UKU7		ACAD8	1RX0;
P61221		ABCE1	
P30154		PPP2R1B	
Q05901		CHRNB3	
Q8N6N7		ACBD7	3EPY;
Q66LE6		PPP2R2D	
P53396		ACLY	3MWD;3MWE;3PFF;5TDE;5TDF;5TDM;5TDZ;5TE1;5TEQ;5TES;5TET;6HXH;6HXK;6HXL;6HXM;6O0H;6POE;6POF;6QFB;6UI9;6UIA;6UUW;6UUZ;6UV5;
P52209		PGD	2JKV;4GWG;4GWK;5UQ9;
O00767		SCD	4ZYO;
Q9Y3L3		SH3BP1	4J9D;4J9F;
O43741		PRKAB2	2F15;2V8Q;2V92;2V9J;2Y8L;2Y8Q;2YA3;4CFH;4EAI;4EAJ;4RER;4REW;6B2E;
P51816		AFF2	
Q8TF27		AGAP11	
Q9BYD9		ACTRT3	
Q96PE1		ADGRA2	
O94788		ALDH1A2	4X2Q;6ALJ;6B5G;6B5H;6B5I;
Q9P0K1		ADAM22	3G5C;5Y2Z;5Y31;
O43184		ADAM12	
Q9UKB5		AJAP1	
P84996		GNAS	
O75689		ADAP1	3FEH;3FM8;3LJU;3MDB;
Q9BUB4		ADAT1	
Q5T2E6		ARMH3	
O95376		ARIH2	
Q8N2N9		ANKRD36B	
Q9UBL3		ASH2L	3RSN;3S32;3TOJ;4RIQ;4X8N;4X8P;5F6K;5F6L;6E2H;6KIU;6KIV;6KIW;6KIX;6KIZ;6PWV;
Q9NY37		ASIC5	
P59998		ARPC4	
Q4VNC1		ATP13A4	
P16615		ATP2A2	5ZTF;6JJU;
Q674R7		ATG9B	
P20020		ATP2B1	6A69;
P15336		ATF2	1BHI;1T2K;4H36;
O15169		AXIN1	1DK8;1EMU;1O9U;3ZDI;4B7T;4NM0;4NM3;4NM5;4NM7;4NU1;5WZZ;6JCK;
Q9NPI1		BRD7	2I7K;5MQ1;
Q9Y2C3		B3GALT5	
P55291		CDH15	
P08217		CELA2A	
Q9BXF3		CECR2	3NXB;5V84;
P31997		CEACAM8	2DKS;4WTZ;4Y88;4YIQ;
Q96MD7		C9orf85	
Q9NPF2		CHST11	
Q99459		CDC5L	2DIM;2DIN;5MQF;5XJC;5YZG;5Z56;5Z57;5Z58;6FF4;6FF7;6ICZ;6ID0;6ID1;6QDV;
Q5T655		CFAP58	
P11912		CD79A	1CV9;
Q9C0B2		CFAP74	
P21127		CDK11B	
A8K010		LINC00473	
P21554		CNR1	1LVQ;1LVR;2B0Y;2KOE;2MZ2;2MZ3;2MZA;5TGZ;5U09;5XR8;5XRA;6KQI;6N4B;
Q9HAK2		EBF2	
O95196		CSPG5	
O43889		CREB3	
P20023		CR2	1GHQ;1LY2;1W2R;1W2S;2ATY;2GSX;3OED;
Q14019		COTL1	1T2L;1T3X;1T3Y;1TMW;1VFQ;1WNJ;
Q9Y2W7		KCNIP3	2E6W;
Q6UWE3		CLPSL2	
O15432		SLC31A2	
Q9BRF8		CPPED1	
P78329		CYP4F2	
Q02928		CYP4A11	
Q86YQ8		CPNE8	
Q8N9W5		DNAAF3	
Q99627		COPS8	4D10;4D18;4WSN;6R6H;6R7F;6R7H;6R7I;6R7N;
O95567		C22orf31	
Q8NEC5		CATSPER1	
Q53TN4		CYBRD1	5ZLE;5ZLG;
Q86XM0		CATSPERD	
Q9H222		ABCG5	5DO7;
Q5JWF8		ACTL10	
P17787		CHRNB2	2GVT;2K58;2K59;2KSR;2LM2;5KXI;6CNJ;6CNK;
Q6NTF7		APOBEC3H	5W45;6B0B;6BBO;
P36639		NUDT1	1IRY;3Q93;3WHW;3ZR0;3ZR1;4C9W;4C9X;4N1T;4N1U;5ANS;5ANT;5ANU;5ANV;5ANW;5FSI;5FSK;5FSL;5FSM;5FSN;5FSO;5GHI;5GHJ;5GHM;5GHN;5GHO;5GHP;5GHQ;5NGR;5NGS;5NGT;5NHY;5OTM;5WS7;6AA3;6AA4;6AA5;6EQ2;6EQ3;6EQ4;6EQ5;6EQ6;6EQ7;6F1X;6F20;6F22;6F23;6GLE;6GLF;6GLG;6GLH;6GLI;6GLJ;6GLK;6GLL;6GLM;6GLN;6GLO;6GLP;6GLQ;6GLR;6GLS;6GLT;6GLU;6GLV;6IJY;6ILI;6IMZ;
Q96AP0		ACD	2I46;5H65;5I2X;5I2Y;5UN7;5XYF;
P21589		NT5E	4H1S;4H1Y;4H2B;4H2F;4H2G;4H2I;6HXW;
P50406		HTR6	
Q9UH17		APOBEC3B	2NBQ;5CQD;5CQH;5CQI;5CQK;5SXG;5SXH;5TD5;5TKM;6NFK;6NFL;6NFM;
Q5VTM2		AGAP9	
Q6P461		ACSM6	
Q8N302		AGGF1	
Q8N7J2		AMER2	
Q6ZN18		AEBP2	5WAI;5Y0U;5Y1U;6C23;6C24;
P07550		ADRB2	1GQ4;2R4R;2R4S;2RH1;3D4S;3KJ6;3NY8;3NY9;3NYA;3P0G;3PDS;3SN6;4GBR;4LDE;4LDL;4LDO;4QKX;5D5A;5D5B;5D6L;5JQH;5X7D;6E67;6MXT;6N48;6NI3;6PRZ;6PS0;6PS1;6PS2;6PS3;6PS4;6PS5;6PS6;
P05141		SLC25A5	
Q08AH3		ACSM2A	2VZE;2WD9;3B7W;3C5E;3DAY;3EQ6;3GPC;
Q6DCA0		AMMECR1L	
Q86WK6		AMIGO1	
Q7Z7M1		ADGRD2	
O75969		AKAP3	
Q8N6D5		ANKRD29	
P40617		ARL4A	
A6NH57		ARL5C	
Q9C0C7		AMBRA1	
P54802		NAGLU	4XWH;
Q92870		APBB2	
O14497		ARID1A	1RYU;
Q9BVC5		C2orf49	
Q5JPF3		ANKRD36C	
O14525		ASTN1	
P23634		ATP2B4	1CFF;2KNE;
Q8WXS3		BAALC	
P23435		CBLN1	5KC5;5KC6;5KC7;5KCA;
Q6ZMN8		CCNI2	
Q9H6F5		CCDC86	
Q9H503		BANF2	
Q13191		CBLB	2AK5;2BZ8;2DO6;2J6F;2JNH;2LDR;2OOA;2OOB;3PFV;3VGO;3ZNI;
Q4G0X9		CCDC40	
P22748		CA4	1ZNC;3F7B;3F7U;3FW3;5IPZ;5JN8;5JN9;5JNA;5JNC;5KU6;
P06276		BCHE	1EHO;1EHQ;1KCJ;1P0I;1P0M;1P0P;1P0Q;1XLU;1XLV;1XLW;2J4C;2PM8;2WID;2WIF;2WIG;2WIJ;2WIK;2WIL;2WSL;2XMB;2XMC;2XMD;2XMG;2XQF;2XQG;2XQI;2XQJ;2XQK;2Y1K;3DJY;3DKK;3O9M;4AQD;4AXB;4B0O;4B0P;4BBZ;4BDS;4TPK;4XII;5DYT;5DYW;5DYY;5K5E;5LKR;5NN0;6EMI;6EP4;6EQP;6EQQ;6ESJ;6ESY;6EUL;6EYF;6EZ2;6F7Q;6I0B;6I0C;6I2T;6QAA;6QAB;6QAC;6QAD;6QAE;6R6V;6R6W;6RUA;
Q8N1I8		CACTIN-AS1	
P10809		HSPD1	4PJ1;
Q6ZU80		CEP128	
Q7Z692		CEACAM19	
P40199		CEACAM6	4WHC;4WTZ;4Y8A;4YIQ;
A6NGY3		C5orf52	
A4D0T2		C7orf66	
Q99440		LINC01587	
Q13319		CDK5R2	
Q8WVX3		C4orf3	
Q5BLP8		C4orf48	
Q8IVW4		CDKL3	3ZDU;
P21926		CD9	
Q16878		CDO1	2IC1;6BGF;6BGM;6BPR;6BPS;6BPT;6BPU;6BPV;6BPW;6BPX;6CDH;6CDN;6E87;6N42;6N43;
P35790		CHKA	2CKO;2CKP;2CKQ;2I7Q;3F2R;3G15;3ZM9;4BR3;4CG8;4CG9;4CGA;4DA5;5AFV;5EQE;5EQP;5EQY;5FTG;5FUT;5W6O;
O00421		CCRL2	
Q00532		CDKL1	4AGU;
Q86XI2		NCAPG2	
A8K4G0		CD300LB	
P12109		COL6A1	
P30622		CLIP1	2CP5;2CP6;2E3H;2E3I;2E4H;2HQH;2QK0;3E2U;3RDV;
O15516		CLOCK	4H10;6QPJ;
Q5U649		C12orf60	
H7BZ55		CROCC2	
Q9H0L4		CSTF2T	
Q8IV77		CNGA4	
Q8NI60		COQ8A	4PED;5I35;
A0A024RAX7		CSAD	
G5E9U9		PARP12	
A0A087WXL6		VPS11	
C9JGI9		GNGT1	
E9PPB6		ABCD4	
B4DGZ7		TMEM49	
A0A2R8Y7T2		DDX3X	
A0A0B4J2C1		MRPL51	
E2J0C2		COX3	
A0A0A0MRV4		PRXL2B	
C9JPF8		MAP6D1	
A0A024R3W3			
A0A024R918		FAM20B	
Q54A98		hRANKL 3	
Q09GN1		CENPU	
A8K2M3		WFDC2	
A0A024QYR8		TM9SF2	
B1AMS2		SEPTIN6	
A0A140VK52		SPATA8	
A0A0G2JQU7		DHX36	
E9PI93		EEF1D	
A0A126GVK6		OR5M9	
Q5T2B5		CUL2	
G5EA19		TATDN1	
F2Z3L2		REPS1	
Q0VAP8		TSHR	
A0A1U9X8V3			
D3DQZ6		ZCSL3	
A0A024RD36		RPL7L1	
H0Y8E2		NR1I2	
A0A1P0B7D2		MAPK10	
A0A087WUE9		SYMPK	
J3QQR1		CRHR1	
A0A059RP89		COX1	
B3KRP6		CLEC1A	
A0A126GV87		OR12D2	
A0A286YFI8		MFSD8	
E5KTA5		UNG	
Q8TAE4		PDE1C	
A0A0S2Z5N0		BEND5	
B7Z7G7		VPS45	
E9PGC5		PTPRK	
A0A087X090		FDPS	
O95086		CLN3	
A8K186		ZNF276	
H3BUN5		CES2	
B7Z4W5		KYAT1	
B4DSF2		LRRC37A3	
A8YXX4		PIG59	
Q9H2M2		ESR1	
Q7YCF3		COX3	
Q9B2U8		COX2	
Q38L15		TREM1	
B8ZZ54		HSPE1	
Q68DN7		PLAGL1	
Q96F58		GPNMB	
H0YJ41		BTBD7	
C9IZZ2		NDUFB2	
A0A024R607		PAQR5	
A0A024QZU8		RREB1	
Q86W61		VCAN	
X6R9Y9		CCDC107	
A0A126GVR6		OR4C3	
A0A024R179		NCBP1	
J3QLE2		MAP2K4	
B7Z493		FGD4	
A0A024R7A6		PLXNA4B	
A0A090N7X0		HIMAP4	
Q0ZFE3		ATP6	
B3KN60		SNX13	
K7EJT7		GHDC	
A0A024RCZ1		LEMD2	
A0A024R324		RHOA	
Q9NPA9		ra-a47	
S4R302		GFOD1	
F5GY05		FAM120B	
A0A0G2JJP1		TRIM15	
A0A126GVE3		OR8J3	
A0A126GW85		OR9Q2	
A0A1V1IGJ9		HLA-DRB1	
B7Z510		REEP5	
S4SSZ5		COX1	
H3BPN7		NTAN1	
Q5XTE2		CYTB	
F8WC70		UGP2	
A0A024R9L7		MYC	
B1AKT2		LRRC7	
A0A5F9ZH48		TMEM145	
Q5JQP8		POLL	
Q6P4D7		TM6SF1	
G3V2B1		PSEN1	
Q7KZJ0		RAD51C	
G5E9E9		DTYMK	
B3KNG0			
A0A0B4J255		YAF2	
A0A024QZI4		VRK3	
S4R378		DUSP22	
A4D0W0		LSM8	
V9K052		ATP6	
A0A1J0Q379		ND4L	
A0A024RB85		PA2G4	
A0A5F9ZHK4		KIR2DS4	
E9PN71		EEF1D	
A0A140VK48		SLC23A2	
H0YDP0		SLC27A3	
U5L3Q0		ND3	
E0Y4D1		CYTB	
I3L3C7		PRSS21	
B0QYY4		RBFOX2	
H9S8D5		ATP6	
B2XNF9		ATP6	
F4MH94		UTY	
B7Z1G7			
A0A0B4J1Y6		SAMD9L	
D3DTH7		MYO1C	
Q53FR9		COMMD9	
A0A1X9PQR1		HLA-B	
A0A5C2G738			
A4ZKY8		ND2	
A8K398			
B4DXD3		NR1D2	
G9B020		ATP8	
Q1HGV3		TP53	
F6XU50		HELLS	
Q96T57			
D9ZHQ7		NRG3	
B7ZAN3		CD37	
G4XH60		P2RY13	
H0YCU3		FOXR1	
A0A024R3J7			
A0A024R323		ABHD6	
Q4G0N1		ZNF283	
A7MD47		ZMAT1	
F5GXW4			
X6R5A3		TDP2	
F5GX12		GABARAPL1	
A0A024RA48		SNX13	
A0A024R3T9		JMJD4	
A0A024RB35		C1QDC1	
A5WZL6			
A0A024R3Z8			
B2RCB6		ASTN2	
W6CJ52		FOXC1	
B4DG17		PTOV1	
F2Z3H5		ZNF561	
V9J9X6		ND2	
A0A218MIY9		TSGA10	
A0A0G2JNC7		NAIP	
X5BZL0		ND3	
A0A023IP86		ITGA4	
G9LCA8		CYTB	
A0A024QZN9		VDAC2	
A0A0A0PWB3		ND5	
D3DU51		PIGQ	
A0A024R445		BCS1L	
D6RDN8		TMEM144	
Q5T6Z8		TMEM59	
I6L9I8		EPN3	
A0A024R9Q1		THBS1	
D2Y6T1		ND1	
A0A024R3H8		DPAGT1	
D6REQ9		TMCO6	
A0A024QYZ2		ECOP	
A0A346RDT0		SLC7A11	
H9LLS3		ATP6	
A0A343FEV7		ATP6	
Q5G014		KU-MEL-3	
Q27H88		PRND	
Q3BBU8			
A2ABM8		DDR1	
Q96MA9			
D9N2U0		TNFSF15	
A0A158VVH7		CEACM19	
A0A2S0RA61			
A0A024R509		ARSA	
E7CM40		CYTB	
J9V3D9		CYTB	
D3DVX4		FAM113A	
S5R8H1		CYP2C9	
A0A024R2F1			
F2Z363		UBE2F	
Q5S8Q5		ND1	
B7Z8T8			
E9PBQ8		SLC17A3	
A0A3B3ISM3		RNF157	
A4Z6T8		NAT2	
X6R8R1		SYT15	
A0A090KM51		HLA-B	
A0A024R9U4		LOC201895	
A0A3S6RIE8		HLA-C	
Q96P72		DFFB	
A0A1B1CX94		ND4	
A0A5C2G304			
B6ECB5		MUC1	
D6RB68		TDO2	
G3V2D7		CCDC85C	
A0A023R619		CYTB	
Q75LP3		DKFZP566I1024	
B2RCZ7		ETHE1	
A0A024R6C2			
B4DUV1			
H3BUP4		TRAF7	
B7ZL86		C5orf38	
A0A140VKC2		TKTL2	
E9PIC4		RBBP4	
A0A1S7C664		CYTB	
A0A384MDZ2		PRKAG2	
A0A024R8Z8		C1orf155	
Q4GMF2		NADH5	
A0A126GW43		OR7G2	
A0A024QYX4			
A0A075B7B9		IGHD2OR15-2B	
A4QPE4		SPTBN2	
Q6IAT1		GDI2	
B2KLD8		COX3	
Q2L6J1		TRIM31	
C9JCN1		DMKN	
Q4W8S1		PRDM15	
Q6PIK3		RAB4B	
A2VCL3		COG4	
B5LMG6		BORA	
G3V213		AK2	
G5EA43		TMPRSS5	
F5H2X6		P2RX7	
K9N163		IL15RA	
B3KTY4		SLITRK2	
G3V133		TBC1D9B	
E9PFM6		TPO	
K7EKK0		TYROBP	
E9PPT8		CCDC84	
D7R525		MAPK9	
C9JY41		GCSAM	
A0A024R8N8		TMC8	
M0QY24		ZNF546	
B3KQ24			
V9GY52		ASAH2	
A0A024RA96		PLA2G2A	
C9J2L7		BOC	
A0A0D6K947		HLA-DPB1	
Q2M3X1		HMGXB4	
K7ELT0		RNF165	
A0A024R5B6		RCE1	
A0A024R6K8		WARS	
Q5Y0H4		COX3	
H0YBT3		CNOT7	
E5RHP9		NPIPB5	
H0YKK0		SNRPA1	
E5KMT6			
H0YC50		MYOZ3	
A0A024R6T5		FTS	
A0A3G5ATK3		COX1	
M0QX87		ZNF671	
A0A024RAU0		OLR1	
D6REZ2		CDK10	
B5A954		TEK	
Q5RI18		HNRNPU	
A0A2X0T233		HLA-C	
B3KRD2			
A0A0U5QLV7		HLA-DQB1	
Q5SQY0		TUBB8	
Q96H71		FAM189B	
A0A342YGS3		ATP6	
C8Y747		CYTB	
B0AZT5		NAA50	
B4DYU0		SHBG	
D6R9R0		SLC49A3	
B4YG72		ATP6	
A0A024R4U0		ARFGAP3	
A0A0N7B161		ND5	
F8WF49		DLGAP4	
A4D1L9		MEST	
J3QLK1		DHRS7B	
B4DQF9		ZNF589	
F5H3T4		SLC38A10	
F6N1U0		ND6	
Q8TCC6		DMGDH	
A0A286MC75		HLA-C	
E9PNZ4		MACF1	
A0A089H974		CCR5	
A0A493QPA8		HLA-DPB1	
H7C1E4		AP1S1	
B9A025		LOXL3	
A0A5C2G8Y7			
Q3MI39		HNRPA1	
A0A087WT42		SLC2A8	
A0A087WZZ9		CDK1	
D3DWY7		VBP1	
C9JDJ4		TMEM14B	
A0A5C2GWY4			
H3BT64		RABEP2	
A0A2R8YEH3		LOC112268384	
M0R3F2		ZNF548	
D3DRJ2		SH3GL2	
A0A5C2G4A9			
Q4G0X0		DMD	
F1B806		ND1	
A0A455JXG4		HLA-DPA1	
Q3SY49		XAGE5	
E9PE82		ACADS	
B4DIS3		LOC84661	
Q8WTR0			
F0X364		ABO	
D3DWM2		VPS28	
C9JD20		WDR81	
D3DUE7		N-PAC	
Q4VFQ5		ND2	
B2YB74		ND2	
Q5SB58		ATP6	
Q06TG3		CYTB	
H0YBB7		CPQ	
I3L1C8		BAIAP2	
D2CRH1		RHD	
A0A2I6Q7C5		HLA-B	
Q8NHK6		KIR3DL2	
A0A0U1RQW3		ATRIP	
D1G3Z7		ATP6	
C9JN48		TMEM150A	
A0A481SHK9		HBB	
A0A343V3K0		ND5	
S5SA55		ND3	
B7Z947		WDR44	
H0YF49		COP1	
A0A024RD43		PRIM2A	
A0A1W2PPA3		GFAP	
A0A0G2JJF2		CYP21A2	
H0YJQ5		FAM71D	
E2J0Z7		ND5	
Q9NRK2		p15	
U5LKG0		APOL1	
H0YG43		TMEM91	
A0A222UBQ9		HERC5	
A0A024RCN2		MSH5	
Q14D93		C22orf15	
Q7YED2		ATP6	
A0A024R238		VPS13A	
A0A068C7H2		ND2	
A0A5C2FYB9			
Q8WZ91			
A0A024R4E8		PDZK1	
D6W633		PTPRS	
A0A024R6I5			
A0A120N617		KIR3DL2	
A0A494C020		NFAT5	
A0A5C2FYU7			
D3DQY9			
A0A3S6RF45		HLA-A	
A0A1U9X7H5			
D6RBN5		OCIAD1	
L0EQP9		TP53	
Q306C1		ND5	
E9PKF5		ROM1	
H9PB75		ND4L	
Q5S9N8		ATP6	
Q7GM50		ND2	
A0A590UJ20		ZNF75A	
V5L973		CYTB	
G3V5M0		APEX1	
Q8HB65			
A0A0U1RQY7		CSNK1G1	
H0Y4R8		SP100	5PWC;5PWD;
A0A024RAX3		LMO3	
E5FFB4		ND2	
A0A0C4DH07		LTBP4	
G9LMI3		CYTB	
H0YI09		METTL7A	
H3BQ24		FAN1	
A0A3S6RG78		HLA-C	
E9PCM6		ARHGAP4	
A0A0C4DFU9		CFAP43	
A0A4P8D7F0		PGR	
G9LMQ6		ND2	
J3QLC3		VAC14	
Q16509		tal-1	
K7ENN5		FAM32A	
F8VR69		RPL6	
H7C1Y7		NDUFA10	
H7C351		SLC51A	
H3BTJ3		FBXL19	
B1AKW3		EYA2	
A0A024R5X0		OAZ2	
K7EP11		CLASRP	
J3KRK0		TLK2	
H3BSN4		TGFB1I1	
E9L8H9		ND5	
A0A346XM43		TP53	
A0A023I8E0		COX1	
J3KSB6		CYBC1	
A0A0D4BJT9		CYTB	
A0A2R8Y6P7		RPS29	
A0A1W2PRP0			
A0A024R195			
A0A080YUZ8		LYZD1	
A0A1B0GUS7		UNC13B	
A0A5K1TTN8		HLA-DRB1	
C9JWZ1		CCDC14	
J3KNI5		TRIML2	
F5GX71		MPI	
H0Y6R0		CDC42BPA	
A0A2R8Y7E7		TBCE	
Q8TAY1		NIPA1	
E9PNB1		PLPP5	
E9PQ60		B3GAT3	
H3BQ59		CSAD	
E7EM55		TANK	
H3BTS6		TMEM87A	
C9JS54		SUN1	
H9SEK7		COX3	
A0A5H2UYR7		HLA-A	
K7EIL6			
B4DUQ9			
X6RBI5		ZNF461	
M0QXZ3		C3	
A0A1D5RMS8		WDPCP	
B3KSS7			
F8WBF5		CLK1	
E7EW22		HDAC8	
M0QYS3		ARHGEF1	
H0YDK8		PUM1	
I3L3D5		PFN1	
J3QLV2		ERBB2	
G3V5T5		PIP4P1	
F8VRK0		TUBA1B	
H0YAK1		GRSF1	
F5GYF7		COPS7A	
H0YMA2		TMOD2	
H7C1R2		OSBP2	
H7C5V3		MRPS28	
Q59EX4			
K7ENQ1		HIC1	
H7C5S1		NFKBIZ	
E9PMN8		MS4A6A	
K7EKM3		TNNT1	
H3BPA6		ADGRG1	
A0A0N6YNR7		COX2	
I3L0K5		URI1	
F8W7U8		MRE11	
H0YHT0		CRY1	
H7C2L2		APP	
F5H6U5		OXGR1	
R4GMQ8		PPP1R1A	
H0YFM9		PIGQ	
H3BSD0		ZNF646	
E9PPL0		ILDR2	
E9PPM9		FNTA	
F5H5V7		SLC2A14	
F8WEY1		NT5DC2	
H3BMJ8		TCF25	
A0A087WWB8		TTLL9	
S4R3B3		ZSWIM8	
K7EJE4		RFX2	
H3BUC6		MT1M	
H0YG96		USP28	
A0A1Z2RP59		HLA-DQB1	
H0Y6F0		EFCAB2	
H3BT58		COTL1	
A0A075B729		BOP1	
E5RG14		CALB1	
F8WAQ8		MOB4	
G3V459		NEK9	
F8W1F5		FMNL3	
B8ZZL6		CAPG	
A2A3D9		PCDH15	
A0A3B3IRZ6		ZBTB40	
E9PHN7		GSTM2	
H3BU82		AAAS	
A6PVH9		CPNE1	
X5D999		PCDH10	
E7EV53		GABRA6	
A0A346XQX8		HLA-DQB1	
A0A384NKQ2			
F6WYE2		TRIOBP	
J3KRV2		PTPRM	
